c_days_from_compas,juv_other_count,start,juv_misd_count,juv_fel_count,days_b_screening_arrest,priors_count,r_days_from_arrest,decile_score,is_violent_recid,event,end,is_recid,sex,two_year_recid,two_year_recid_prob,age_cat
1.0,0,0,0,0,-1.0,0,,1,0,0,327,0,Male,0,0.0016977012,Greater than 45
490.0,0,0,0,0,-20.0,1,0.0,1,0,1,216,1,Female,1,0.99771726,Greater than 45
1.0,0,0,0,0,-1.0,13,0.0,6,0,1,1,1,Male,1,0.99887556,Greater than 45
1.0,0,1,0,0,-1.0,0,,1,0,0,823,0,Male,0,0.00021692533,Greater than 45
0.0,0,3,0,0,-1.0,7,,3,0,0,502,1,Male,0,0.7806947,Greater than 45
1.0,0,0,0,0,-1.0,2,,1,0,0,1128,0,Male,0,0.0002581324,Greater than 45
1.0,0,1,0,0,-1.0,7,,2,0,0,529,0,Female,0,0.0008923927,Greater than 45
0.0,0,0,0,0,0.0,0,,1,0,0,973,0,Male,0,0.00036629857,Greater than 45
562.0,0,0,0,0,302.0,20,,6,0,1,275,1,Male,1,0.9945944,Greater than 45
219.0,0,0,0,0,-219.0,1,,1,0,0,800,0,Female,0,0.00042004732,Greater than 45
1.0,0,0,0,0,-1.0,4,,1,0,0,948,0,Male,0,0.00021644951,Greater than 45
13.0,0,0,0,0,-13.0,8,,5,0,0,1039,0,Male,0,0.000330097,Greater than 45
906.0,0,0,0,0,-38.0,10,,7,0,1,44,1,Male,1,0.99730635,Greater than 45
1.0,0,0,0,0,0.0,0,,1,0,0,1179,0,Male,0,0.0003972917,Greater than 45
1.0,0,3,0,0,0.0,0,,1,0,0,916,0,Female,0,0.00031677014,Greater than 45
1.0,0,241,0,0,-1.0,6,,1,1,1,323,1,Male,1,0.99426866,Greater than 45
1.0,0,0,0,0,-1.0,0,135.0,1,0,1,182,1,Male,1,0.99759847,Greater than 45
804.0,0,0,0,0,,12,,7,0,0,1183,0,Male,0,0.0009143693,Greater than 45
64.0,0,0,0,0,-64.0,3,,1,0,0,877,0,Male,0,0.0002599214,Greater than 45
1.0,0,0,0,0,0.0,0,,1,0,0,1082,0,Female,0,0.0003972917,Greater than 45
265.0,0,0,0,0,178.0,14,0.0,9,1,1,178,1,Male,1,0.9917983,Greater than 45
79.0,0,0,0,0,67.0,8,,9,0,0,67,0,Male,0,0.0040819086,Greater than 45
2.0,0,0,0,0,-2.0,3,,9,0,0,977,0,Male,0,0.0003448611,Greater than 45
48.0,0,0,0,0,-47.0,2,,1,0,0,732,0,Female,0,0.00027052377,Greater than 45
1.0,0,0,0,0,-1.0,1,5.0,2,0,1,164,1,Male,1,0.99778616,Greater than 45
375.0,0,0,0,0,,4,,4,0,0,1073,0,Female,0,0.00040862898,Greater than 45
1.0,0,0,0,0,-1.0,1,,1,0,1,544,1,Female,1,0.9964528,Greater than 45
